Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),6.12,0.97,18.12,636.18,1.56,1.66,1.87,2.54,4.86,7.22,16.44,16.44,18.08,4.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,765.34,256.00,1025.00,79595.00,256.00,256.00,257.00,511.75,1023.00,1024.00,1024.00,1025.00,1025.00,335.18
HTTP Chunks Sent,1.00,1.00,1.00,104.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),4.33,0.00,35.81,449.85,0.00,0.00,0.00,0.70,1.78,5.61,8.55,8.73,33.29,6.49
HTTP Connection Overhead (ms),5.15,0.00,42.73,535.83,0.00,0.00,0.00,0.70,1.78,5.61,15.15,15.46,33.29,7.58
HTTP Connection Reused (ratio),0.14,0.00,1.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),233.01,77.94,312.50,24233.43,77.95,77.99,78.05,155.57,311.40,311.82,312.10,312.26,312.50,102.14
HTTP Data Sent (KB),42.68,4.19,142.06,4438.62,4.23,4.40,4.48,17.07,34.96,69.32,72.25,139.36,141.50,38.12
HTTP DNS Lookup (ms),0.83,0.00,6.92,85.98,0.00,0.00,0.00,0.00,0.00,0.00,6.55,6.63,6.85,2.19
HTTP Duration (excl. conn) (ms),235079.70,14125.80,654529.45,24448288.67,14162.83,15569.85,15573.83,70705.16,198448.73,361917.97,537055.85,603434.06,646276.32,186960.78
HTTP Receiving (ms),67325.85,11673.67,125145.97,7001888.90,11673.98,11674.98,12842.35,24384.75,83643.40,97000.57,104837.92,108135.04,112640.61,35549.00
HTTP Sending (ms),4.49,0.21,36.04,467.46,0.21,0.22,0.27,0.83,1.90,5.77,8.79,8.95,33.44,6.49
HTTP Total Time (ms),235084.85,14125.80,654561.21,24448824.50,14163.68,15570.41,15574.39,70706.42,198448.73,361923.57,537060.02,603439.85,646276.46,186962.99
HTTP Waiting (TTFB) (ms),167749.35,315.59,568956.26,17445932.31,1473.87,3894.21,3898.09,24794.88,121220.87,268524.35,430596.67,488878.20,557757.11,159805.88
Input Sequence Length (tokens),9974.16,1024.00,32768.00,1037313.00,1024.00,1024.00,1024.00,4096.00,8192.00,16384.00,16384.00,32768.00,32768.00,8943.95
Inter Chunk Latency (ms),88.19,30.62,17889.70,7001847.57,34.63,35.61,35.91,38.31,39.05,39.63,40.00,40.33,2621.58,365.21
Inter Token Latency (ms),83.05,45.19,134.62,8637.20,45.78,45.78,48.39,73.28,86.61,97.20,103.63,107.88,127.98,20.66
OSL Mismatch Diff % (%),-0.14,-1.07,0.00,-14.36,-0.39,-0.39,-0.29,-0.20,-0.10,0.00,0.00,0.00,0.00,0.16
Output Sequence Length (tokens),764.21,256.00,1024.00,79478.00,256.00,256.00,256.00,510.00,1021.00,1022.00,1023.00,1024.00,1024.00,334.96
Output Token Count (tokens),764.21,256.00,1024.00,79478.00,256.00,256.00,256.00,510.00,1021.00,1022.00,1023.00,1024.00,1024.00,334.96
Output Token Throughput Per User (tokens/sec/user),13.03,7.43,22.13,1355.26,7.81,9.27,9.65,10.29,11.55,13.65,20.67,21.84,21.85,4.12
Prefill Throughput Per User (tokens/sec/user),153.19,4.41,3241.78,15932.03,11.99,21.53,37.33,49.86,66.22,159.89,262.83,317.71,694.27,334.25
Request Latency (ms),235079.39,14125.88,654529.37,24448256.18,14162.12,15569.32,15573.91,70704.42,198448.44,361917.82,537055.78,603433.95,646276.28,186960.78
Time to First Output Token (ms),167753.93,315.88,568988.29,17446408.60,1474.92,3895.70,3898.87,24798.63,121221.78,268530.20,430601.12,488884.25,557757.60,159808.08
Time to First Token (ms),167753.93,315.88,568988.29,17446408.60,1474.92,3895.70,3898.87,24798.63,121221.78,268530.20,430601.12,488884.25,557757.60,159808.08
Time to Second Token (ms),1726.52,33.32,3116.63,179558.00,33.36,36.17,37.47,184.30,2453.77,2569.65,2695.18,2738.78,2952.63,1122.43

Metric,Value
Benchmark Duration (sec),654.53
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),121.43
Request Count,104.00
Request Throughput (requests/sec),0.16
Total Input Sequence Length (tokens),1037313.00
Total Output Sequence Length (tokens),79478.00
Total Output Tokens (tokens),79478.00
Total Token Throughput (tokens/sec),1706.24


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
