Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),45.13,29.04,115.25,92566.37,36.44,43.26,44.22,44.66,45.04,45.48,45.83,46.02,52.24,3.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.08,196.00,257.00,525230.00,198.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,6.95
HTTP Chunks Sent,1.00,1.00,1.00,2051.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2051.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.64,60.12,78.07,159240.68,60.25,77.79,77.82,77.86,77.90,77.94,77.98,78.01,78.04,2.08
HTTP Data Sent (KB),17.61,16.12,18.93,36119.79,16.44,16.76,17.06,17.34,17.56,17.90,18.24,18.49,18.75,0.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5697.67,2221.84,8815.14,11685918.13,4901.64,5563.52,5586.26,5629.24,5684.52,5732.32,5790.30,5917.79,7026.33,348.35
HTTP Receiving (ms),2816.11,1947.33,3481.95,5775844.08,2513.96,2797.76,2798.91,2800.55,2802.75,2805.74,2830.16,2967.54,3151.10,93.23
HTTP Sending (ms),0.15,0.07,0.29,311.26,0.11,0.12,0.13,0.13,0.16,0.17,0.17,0.19,0.21,0.02
HTTP Total Time (ms),5697.67,2221.84,8815.14,11685918.13,4901.64,5563.52,5586.26,5629.24,5684.52,5732.32,5790.30,5917.79,7026.33,348.35
HTTP Waiting (TTFB) (ms),2881.41,274.42,6015.25,5909762.79,2233.75,2688.09,2771.98,2818.97,2870.93,2918.35,2962.19,3009.38,4228.91,322.08
Input Sequence Length (tokens),4096.01,4096.00,4097.00,8400912.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,4096.00,0.09
Inter Chunk Latency (ms),11.08,0.00,661.15,5774605.79,8.87,10.21,10.42,10.70,10.99,11.32,11.77,12.25,13.00,5.14
Inter Token Latency (ms),11.04,7.63,13.53,22646.26,9.86,10.97,10.97,10.98,10.99,11.00,11.10,11.65,12.35,0.37
OSL Mismatch Diff % (%),-0.00,-0.78,0.00,-6.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.99,254.00,256.00,525039.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Count (tokens),255.99,254.00,256.00,525039.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Throughput Per User (tokens/sec/user),90.67,73.90,131.00,185966.69,80.94,85.86,90.12,90.90,91.00,91.07,91.13,91.17,101.44,3.21
Prefill Throughput Per User (tokens/sec/user),1450.63,680.91,14918.73,2975245.91,968.51,1360.98,1382.67,1403.44,1426.60,1452.90,1477.51,1523.62,1833.53,461.30
Request Latency (ms),5697.13,2221.18,8814.44,11684822.90,4901.20,5562.90,5586.03,5628.58,5684.33,5731.97,5789.64,5917.10,7025.71,348.31
Time to First Output Token (ms),2881.63,274.55,6015.50,5910217.11,2233.96,2688.33,2772.22,2819.19,2871.15,2918.54,2962.39,3009.60,4229.20,322.08
Time to First Token (ms),2881.63,274.55,6015.50,5910217.11,2233.96,2688.33,2772.22,2819.19,2871.15,2918.54,2962.39,3009.60,4229.20,322.08
Time to Second Token (ms),10.93,0.00,32.26,22421.26,8.20,10.11,10.34,10.60,10.90,11.22,11.67,12.22,12.87,0.94

Metric,Value
Benchmark Duration (sec),184.84
Good Request Count,16.00
GoodRequestFraction (ratio),0.01
Goodput (requests/sec),0.09
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2840.55
Request Count,2051.00
Request Throughput (requests/sec),11.10
Total Input Sequence Length (tokens),8400912.00
Total Output Sequence Length (tokens),525039.00
Total Output Tokens (tokens),525039.00
Total Token Throughput (tokens/sec),48290.95


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
