input_tokens	output_tokens	concurrency	status	finished_utc
1024	256	1	PASS	2026-08-11T10:08:21Z
1024	256	8	PASS	2026-08-11T10:12:00Z
1024	256	16	PASS	2026-08-11T10:15:41Z
1024	256	32	PASS	2026-08-11T10:19:22Z
1024	256	64	PASS	2026-08-11T10:23:04Z
1024	256	128	PASS	2026-08-11T10:26:48Z
1024	256	256	PASS	2026-08-11T10:30:34Z
4096	256	1	PASS	2026-08-11T10:34:14Z
4096	256	8	PASS	2026-08-11T10:37:55Z
4096	256	16	PASS	2026-08-11T10:41:37Z
4096	256	32	PASS	2026-08-11T10:45:19Z
4096	256	64	PASS	2026-08-11T10:49:07Z
4096	256	128	PASS	2026-08-11T10:53:07Z
4096	256	256	PASS	2026-08-11T10:57:28Z
8192	256	1	PASS	2026-08-11T11:01:09Z
8192	256	8	PASS	2026-08-11T11:04:52Z
8192	256	16	PASS	2026-08-11T11:08:35Z
8192	256	32	PASS	2026-08-11T11:12:24Z
8192	256	64	PASS	2026-08-11T11:16:25Z
8192	256	128	PASS	2026-08-11T11:20:51Z
8192	256	256	PASS	2026-08-11T11:26:06Z
16384	256	1	PASS	2026-08-11T11:29:47Z
16384	256	8	PASS	2026-08-11T11:33:32Z
16384	256	16	PASS	2026-08-11T11:37:24Z
16384	256	32	PASS	2026-08-11T11:41:29Z
16384	256	64	PASS	2026-08-11T11:46:02Z
16384	256	128	PASS	2026-08-11T11:51:33Z
16384	256	256	PASS	2026-08-11T11:58:56Z
32768	256	1	PASS	2026-08-11T12:02:39Z
32768	256	8	PASS	2026-08-11T12:06:35Z
32768	256	16	PASS	2026-08-11T12:10:48Z
32768	256	32	PASS	2026-08-11T12:15:37Z
32768	256	64	PASS	2026-08-11T12:21:37Z
32768	256	128	PASS	2026-08-11T12:29:59Z
32768	256	256	PASS	2026-08-11T12:41:20Z
