# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: 62f9d96b4a08
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,worker_id,worker_type,phase,stage,worker,Description
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of disconnected clients
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_lora_churn_loads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Total LoRA loads (new placements) this tick
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_lora_churn_unloads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Total LoRA unloads (removed placements) this tick
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_lora_overflow_count,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,MCF solver overflow count (unplaceable replicas)
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,21.0417,0.0000,22.0000,2.5790,6.0000,20.0000,20.2000,21.0000,22.0000,22.0000,22.0000,22.0000,22.0000,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_alive_tasks,,313.2103,144.0000,324.0000,30.6402,160.0000,240.8000,292.0000,322.0000,324.0000,324.0000,324.0000,324.0000,324.0000,,,,,,,,,,,,Number of alive tasks in the runtime
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of idle blocking threads
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of blocking threads
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of tasks in the runtime global queue
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,995.2424,12.0000,1000.0000,68.4501,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,996.5281,279.0000,1000.0000,49.9520,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,100,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,101,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
