Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),15.34,12.31,50.45,2669.41,13.45,14.17,14.22,14.28,14.58,14.61,14.62,18.28,39.12,4.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,44718.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,174.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,174.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.94,77.79,78.06,13562.30,77.80,77.84,77.87,77.91,77.95,77.98,78.00,78.02,78.04,0.05
HTTP Data Sent (KB),139.49,132.88,145.73,24271.52,134.20,135.34,136.16,137.73,139.25,141.49,143.05,144.15,144.70,2.59
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17284.08,5074.07,20791.08,3007429.57,6692.44,14009.45,17510.46,17521.71,17553.52,17931.36,17999.39,18064.37,19066.09,2095.34
HTTP Receiving (ms),2050.84,2041.01,2102.98,356846.90,2041.99,2043.79,2045.20,2046.93,2049.55,2052.47,2056.36,2064.32,2081.72,7.43
HTTP Sending (ms),0.16,0.13,0.25,27.96,0.14,0.14,0.14,0.14,0.17,0.17,0.18,0.19,0.23,0.02
HTTP Total Time (ms),17284.08,5074.07,20791.08,3007429.57,6692.44,14009.45,17510.46,17521.71,17553.52,17931.36,17999.39,18064.37,19066.09,2095.34
HTTP Waiting (TTFB) (ms),15233.07,3019.24,18737.46,2650554.71,4641.43,11957.66,15460.04,15473.96,15497.86,15880.46,15948.75,16004.52,17014.64,2095.23
Input Sequence Length (tokens),32768.02,32768.00,32769.00,5701635.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32769.00,0.13
Inter Chunk Latency (ms),8.04,2.04,14.24,356736.50,6.37,7.36,7.91,8.03,8.08,8.12,8.19,8.25,9.59,0.41
Inter Token Latency (ms),8.04,8.00,8.25,1399.06,8.00,8.01,8.02,8.03,8.03,8.05,8.06,8.09,8.16,0.03
OSL Mismatch Diff % (%),-0.01,-0.39,0.00,-1.17,-0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Output Sequence Length (tokens),255.98,255.00,256.00,44541.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Count (tokens),255.98,255.00,256.00,44541.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.13
Output Token Throughput Per User (tokens/sec/user),124.37,121.27,124.97,21640.51,122.56,123.56,124.00,124.25,124.46,124.61,124.73,124.81,124.95,0.45
Prefill Throughput Per User (tokens/sec/user),2282.73,1748.77,10852.08,397195.72,1930.22,2047.39,2054.55,2063.41,2114.32,2117.59,2119.49,2740.54,7429.26,1045.22
Request Latency (ms),17283.52,5073.99,20790.14,3007333.10,6691.69,14008.77,17509.58,17521.45,17553.36,17930.34,17998.93,18064.22,19065.95,2095.30
Time to First Output Token (ms),15233.31,3019.51,18737.73,2650596.60,4641.69,11957.88,15460.30,15474.20,15498.10,15880.71,15948.99,16004.76,17014.91,2095.23
Time to First Token (ms),15233.31,3019.51,18737.73,2650596.60,4641.69,11957.88,15460.30,15474.20,15498.10,15880.71,15948.99,16004.76,17014.91,2095.23
Time to Second Token (ms),7.90,5.61,10.41,1374.86,6.19,7.10,7.37,7.89,7.95,8.00,8.06,8.08,9.68,0.48

Metric,Value
Benchmark Duration (sec),195.58
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),227.74
Request Count,174.00
Request Throughput (requests/sec),0.89
Total Input Sequence Length (tokens),5701635.00
Total Output Sequence Length (tokens),44541.00
Total Output Tokens (tokens),44541.00
Total Token Throughput (tokens/sec),29380.72


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
