# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: bf4acb9c18d3
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,worker_id,worker_type,phase,stage,worker,Description
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of disconnected clients
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_lora_churn_loads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Total LoRA loads (new placements) this tick
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_lora_churn_unloads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Total LoRA unloads (removed placements) this tick
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_frontend_lora_overflow_count,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,MCF solver overflow count (unplaceable replicas)
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,7.7721,0.0000,8.0000,1.0111,1.0000,7.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_alive_tasks,,116.7968,84.0000,120.0000,4.6372,92.0000,113.0000,116.0000,117.0000,118.0000,118.0000,118.0000,118.0000,120.0000,,,,,,,,,,,,Number of alive tasks in the runtime
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of idle blocking threads
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of blocking threads
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of tasks in the runtime global queue
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,100,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
qwen3-32b-fp8-vllm-disagg-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,101,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
