Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),57.55,57.21,57.81,2359.69,57.23,57.25,57.28,57.39,57.59,57.68,57.77,57.79,57.81,0.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.00,257.00,257.00,10537.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,257.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,41.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,41.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),77.93,77.81,78.07,3195.28,77.82,77.84,77.87,77.89,77.92,77.98,78.00,78.00,78.04,0.06
HTTP Data Sent (KB),139.41,133.17,145.02,5715.70,133.87,135.42,135.79,136.87,139.35,141.69,143.80,144.82,144.97,2.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4448.30,4428.22,4474.63,182380.47,4428.68,4429.72,4431.47,4438.81,4445.36,4461.55,4469.66,4471.68,4473.76,13.64
HTTP Receiving (ms),1857.01,1853.48,1862.42,76137.21,1853.57,1854.22,1854.50,1855.41,1856.72,1858.01,1859.36,1862.12,1862.39,2.17
HTTP Sending (ms),0.14,0.13,0.19,5.92,0.13,0.13,0.13,0.14,0.14,0.14,0.18,0.18,0.18,0.01
HTTP Total Time (ms),4448.30,4428.22,4474.63,182380.47,4428.68,4429.72,4431.47,4438.81,4445.36,4461.55,4469.66,4471.68,4473.76,13.64
HTTP Waiting (TTFB) (ms),2591.15,2572.39,2615.60,106237.34,2572.49,2573.21,2576.39,2580.83,2588.22,2605.73,2610.80,2611.04,2614.19,13.17
Input Sequence Length (tokens),32768.00,32768.00,32768.00,1343488.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,32768.00,0.00
Inter Chunk Latency (ms),7.28,2.46,12.17,76124.92,6.98,7.15,7.19,7.25,7.28,7.31,7.37,7.41,7.96,0.22
Inter Token Latency (ms),7.28,7.27,7.30,298.53,7.27,7.27,7.27,7.27,7.28,7.29,7.29,7.30,7.30,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,10496.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,10496.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),137.34,136.94,137.60,5630.95,136.94,136.96,137.16,137.26,137.36,137.47,137.52,137.58,137.60,0.16
Prefill Throughput Per User (tokens/sec/user),12645.36,12526.93,12737.36,518459.68,12533.68,12548.77,12549.96,12574.33,12659.38,12695.66,12717.63,12733.22,12736.74,64.13
Request Latency (ms),4448.08,4428.10,4474.38,182371.23,4428.54,4429.55,4431.38,4438.60,4445.27,4460.88,4469.45,4471.46,4473.53,13.62
Time to First Output Token (ms),2591.37,2572.59,2615.80,106246.31,2572.71,2573.43,2576.58,2581.04,2588.44,2605.94,2611.00,2611.25,2614.40,13.17
Time to First Token (ms),2591.37,2572.59,2615.80,106246.31,2572.71,2573.43,2576.58,2581.04,2588.44,2605.94,2611.00,2611.25,2614.40,13.17
Time to Second Token (ms),7.09,6.78,7.37,290.84,6.82,6.91,6.94,7.01,7.12,7.17,7.24,7.26,7.34,0.12

Metric,Value
Benchmark Duration (sec),182.57
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),57.49
Request Count,41.00
Request Throughput (requests/sec),0.22
Total Input Sequence Length (tokens),1343488.00
Total Output Sequence Length (tokens),10496.00
Total Output Tokens (tokens),10496.00
Total Token Throughput (tokens/sec),7416.12


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
