# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: a3fa5efb6858
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,dp_rank,dynamo_component,dynamo_namespace,model,policy_class,router_worker_id,worker_id,worker_type,phase,stage,worker,Description
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of disconnected clients
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_frontend_lora_churn_loads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Total LoRA loads (new placements) this tick
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_frontend_lora_churn_unloads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Total LoRA unloads (removed placements) this tick
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_frontend_lora_overflow_count,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,MCF solver overflow count (unplaceable replicas)
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_request_plane_inflight_requests,requests,27.6089,0.0000,34.0000,6.6265,2.0000,4.0000,26.0000,28.0000,29.0000,30.0000,32.0000,32.0000,33.3200,,,,,,,,,,,,Currently in-flight requests at AddressedPushRouter
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_alive_tasks,,263.9546,152.0000,291.0000,26.3128,163.0000,171.0000,257.0000,265.0000,269.0000,275.0000,281.0000,281.0000,287.0000,,,,,,,,,,,,Number of alive tasks in the runtime
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of idle blocking threads
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of tasks in the blocking thread pool queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of blocking threads
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_global_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of tasks in the runtime global queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,80.4138,5.0000,1000.0000,191.1370,10.6800,20.0000,23.0000,28.0000,35.0000,41.0000,78.0000,218.8000,1000.0000,,,,,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,11,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,12,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,13,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,61.5480,2.0000,1000.0000,134.8471,13.0000,22.0000,25.8000,28.0000,34.0000,41.0000,75.0000,141.0000,1000.0000,,,,,,,,,,,14,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,47.8607,3.0000,48.0000,2.5013,48.0000,48.0000,48.0000,48.0000,48.0000,48.0000,48.0000,48.0000,48.0000,,,,,,,,,,,15,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,33.9040,3.0000,34.0000,1.7231,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,,,,,,,,,,,16,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,513.4149,3.0000,515.0000,28.4590,515.0000,515.0000,515.0000,515.0000,515.0000,515.0000,515.0000,515.0000,515.0000,,,,,,,,,,,17,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,83.1961,9.0000,1000.0000,192.0392,13.0000,20.0000,24.0000,29.0000,39.0000,41.0000,87.0000,223.0000,1000.0000,,,,,,,,,,,18,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,996.9133,3.0000,1000.0000,55.4172,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,19,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,2,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,492.4644,7.0000,1000.0000,479.4339,17.0400,20.0000,24.8000,33.0000,86.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,20,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,93.7379,13.0000,1000.0000,215.1446,14.0000,16.0000,23.0000,29.0000,38.0000,46.0000,122.0000,911.0000,1000.0000,,,,,,,,,,,21,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,80.7183,11.0000,1000.0000,187.7962,16.0000,22.0000,25.0000,30.0000,32.0000,45.0000,83.0000,219.0000,1000.0000,,,,,,,,,,,22,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,85.0712,11.0000,1000.0000,174.1041,15.0000,21.0000,21.0000,28.0000,36.0000,72.0000,93.0000,296.0000,1000.0000,,,,,,,,,,,23,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,85.8741,10.0000,1000.0000,197.0246,16.0000,19.0000,23.0000,29.0000,37.0000,44.0000,128.6000,187.4000,1000.0000,,,,,,,,,,,24,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,25,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,997.5108,196.0000,1000.0000,44.6895,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,26,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,73.2921,11.0000,1000.0000,98.2377,15.0000,23.0000,26.0000,37.0000,37.0000,58.0000,215.0000,221.0000,221.0000,,,,,,,,,,,27,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,996.9876,27.0000,1000.0000,54.0832,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,28,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,,,,,29,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,3,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,266.6409,151.0000,267.0000,6.4477,267.0000,267.0000,267.0000,267.0000,267.0000,267.0000,267.0000,267.0000,267.0000,,,,,,,,,,,30,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,11.0000,11.0000,11.0000,0.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,,,,,,,,,,,31,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,4,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,5,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,6,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,7,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,8,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,3.0000,3.0000,3.0000,0.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,,,,,,,,,,,9,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0155,0.0000,2.0000,0.1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,,,,,,,,,,,0,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,1,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,10,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,11,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,12,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,13,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0031,0.0000,1.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,14,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,15,Number of tasks in worker local queue
q36-sgl-pd-tp1ep2-4p4d-frontend:8000,gauge,dynamo_tokio_worker_local_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,16,Number of tasks in worker local queue
