Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),88.52,16.09,119.90,64886.65,23.84,40.86,50.55,71.67,98.32,107.11,112.46,113.64,114.86,24.10
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,251.82,178.00,257.00,184582.00,230.00,239.00,244.00,247.00,257.00,257.00,257.00,257.00,257.00,7.70
HTTP Chunks Sent,1.00,1.00,1.00,733.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,733.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.02,55.45,80.61,57185.08,71.29,74.10,75.58,76.55,79.48,79.62,79.67,79.69,79.74,2.37
HTTP Data Sent (KB),275.59,265.87,288.28,202006.67,267.93,269.75,270.93,272.92,274.96,277.99,281.50,282.84,285.03,3.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3290.77,2135.36,15914.48,2412132.73,2229.35,2253.06,2277.53,2390.32,2604.66,3572.91,5065.01,6267.21,10738.73,1655.62
HTTP Receiving (ms),1559.92,1354.30,2257.03,1143422.37,1445.38,1447.95,1450.78,1458.48,1533.82,1622.13,1698.30,1794.42,1940.73,119.38
HTTP Sending (ms),0.16,0.13,0.26,118.80,0.13,0.13,0.14,0.15,0.17,0.17,0.17,0.19,0.22,0.02
HTTP Total Time (ms),3290.77,2135.36,15914.48,2412132.73,2229.35,2253.06,2277.53,2390.32,2604.66,3572.91,5065.01,6267.21,10738.73,1655.62
HTTP Waiting (TTFB) (ms),1730.68,687.74,14453.29,1268591.55,773.24,785.19,797.54,825.04,996.89,2060.36,3558.46,4638.40,9278.30,1648.88
Input Sequence Length (tokens),64549.10,64547.00,64551.00,47314488.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Inter Chunk Latency (ms),6.24,0.00,430.62,1142630.33,5.07,5.62,5.64,5.67,5.74,6.51,6.65,7.46,11.39,3.95
Inter Token Latency (ms),6.11,5.31,8.85,4480.90,5.65,5.68,5.69,5.72,6.01,6.36,6.66,7.03,7.57,0.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,187648.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,187648.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),164.45,113.04,188.35,120543.74,132.17,142.17,150.23,157.32,166.30,174.91,175.82,176.20,176.84,11.45
Prefill Throughput Per User (tokens/sec/user),55531.79,4465.98,93823.90,40704798.56,6957.10,13915.86,18138.41,31324.91,64736.05,78217.49,80910.79,82179.88,83450.67,24249.02
Request Latency (ms),3289.77,2135.03,15914.17,2411398.04,2228.80,2252.70,2276.45,2389.99,2603.71,3572.10,5064.29,6266.24,10737.74,1655.63
Time to First Output Token (ms),1730.92,687.98,14453.50,1268767.71,773.49,785.46,797.78,825.28,997.11,2060.63,3558.71,4638.67,9278.55,1648.88
Time to First Token (ms),1730.92,687.98,14453.50,1268767.71,773.49,785.46,797.78,825.28,997.11,2060.63,3558.71,4638.67,9278.55,1648.88
Time to Second Token (ms),10.99,2.43,360.08,8055.94,6.51,6.67,6.75,6.91,7.12,7.92,8.18,9.18,90.18,29.63
Usage Completion Tokens (tokens),256.00,256.00,256.00,187648.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),46245.80,45056.00,48384.00,31400896.00,45056.00,45056.00,45056.00,45056.00,46016.00,47168.00,47936.00,47936.00,48270.08,1141.12
Usage Prompt Tokens (tokens),64549.10,64547.00,64551.00,47314488.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.59
Usage Total Tokens (tokens),64805.10,64803.00,64807.00,47502136.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.59

Metric,Value
Benchmark Duration (sec),304.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),617.26
Overall Usage Prompt Cache Read % (%),66.37
Request Count,733.00
Request Throughput (requests/sec),2.41
Total Input Sequence Length (tokens),47314488.00
Total Output Sequence Length (tokens),187648.00
Total Output Tokens (tokens),187648.00
Total Token Throughput (tokens/sec),156256.70
Total Usage Completion Tokens (tokens),187648.00
Total Usage Prompt Cache Read Tokens (tokens),31400896.00
Total Usage Prompt Tokens (tokens),47314488.00
Total Usage Total Tokens (tokens),47502136.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
