Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),88.45,11.37,144.03,107018.86,16.06,20.51,27.10,77.65,100.50,110.57,118.43,121.56,136.02,32.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,252.51,202.00,257.00,305541.00,233.00,240.00,245.00,248.00,257.00,257.00,257.00,257.00,257.00,6.36
HTTP Chunks Sent,1.00,1.00,1.00,1210.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1210.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),78.24,62.51,80.61,94669.39,72.24,74.39,76.10,76.80,79.55,79.63,79.68,79.71,79.75,1.96
HTTP Data Sent (KB),275.69,264.56,288.28,333582.62,268.01,269.76,270.94,273.12,275.07,277.95,281.66,283.10,285.06,3.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4019.16,1777.69,22527.55,4863181.58,1882.35,2107.75,2161.95,2316.25,2548.32,3297.35,9445.46,12481.82,15943.76,3394.75
HTTP Receiving (ms),1640.40,1438.23,2252.56,1984882.44,1443.21,1451.43,1458.25,1517.89,1623.73,1733.32,1852.23,1925.65,2024.14,149.79
HTTP Sending (ms),0.16,0.13,0.31,190.38,0.13,0.13,0.13,0.14,0.16,0.17,0.17,0.19,0.22,0.02
HTTP Total Time (ms),4019.16,1777.69,22527.55,4863181.58,1882.35,2107.75,2161.95,2316.25,2548.32,3297.35,9445.46,12481.82,15943.76,3394.75
HTTP Waiting (TTFB) (ms),2378.60,326.95,21085.74,2878108.76,354.81,430.29,661.12,685.59,848.48,1576.32,7868.39,10943.25,14325.16,3407.18
Input Sequence Length (tokens),64549.12,64547.00,64552.00,78104433.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Inter Chunk Latency (ms),6.54,0.00,82.55,1983308.49,5.06,5.63,5.66,5.71,6.47,6.65,7.69,7.97,11.41,1.88
Inter Token Latency (ms),6.43,5.60,8.83,7777.68,5.66,5.69,5.72,5.95,6.36,6.79,7.26,7.55,7.94,0.59
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),256.00,256.00,256.00,309760.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,309760.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),156.81,113.27,178.57,189744.37,126.02,132.53,137.73,147.35,157.17,168.15,174.96,175.78,176.76,13.65
Prefill Throughput Per User (tokens/sec/user),68700.17,3061.19,197301.40,83127203.61,4506.15,5898.40,8203.44,40943.56,76057.47,94116.33,97599.30,149927.41,181823.59,40216.97
Request Latency (ms),4017.94,1777.42,22520.38,4861705.19,1882.01,2105.97,2161.55,2315.18,2547.35,3296.96,9445.01,12481.51,15943.33,3394.79
Time to First Output Token (ms),2378.84,327.16,21085.94,2878396.70,355.03,430.54,661.38,685.83,848.69,1576.55,7868.63,10943.48,14325.37,3407.18
Time to First Token (ms),2378.84,327.16,21085.94,2878396.70,355.03,430.54,661.38,685.83,848.69,1576.55,7868.63,10943.48,14325.37,3407.18
Time to Second Token (ms),8.04,0.00,66.88,9724.51,6.62,6.81,6.91,7.06,7.88,8.16,9.28,9.55,11.33,3.05
Usage Completion Tokens (tokens),256.00,256.00,256.00,309760.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Usage Prompt Cache Read Tokens (tokens),49835.59,45056.00,64512.00,60151552.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,48384.00,64512.00,64512.00,4626.19
Usage Prompt Tokens (tokens),64549.12,64547.00,64552.00,78104433.00,64548.00,64548.00,64549.00,64549.00,64549.00,64549.00,64550.00,64550.00,64551.00,0.60
Usage Total Tokens (tokens),64805.12,64803.00,64808.00,78414193.00,64804.00,64804.00,64805.00,64805.00,64805.00,64805.00,64806.00,64806.00,64807.00,0.60

Metric,Value
Benchmark Duration (sec),311.96
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),992.95
Overall Usage Prompt Cache Read % (%),77.01
Request Count,1210.00
Request Throughput (requests/sec),3.88
Total Input Sequence Length (tokens),78104433.00
Total Output Sequence Length (tokens),309760.00
Total Output Tokens (tokens),309760.00
Total Token Throughput (tokens/sec),251361.50
Total Usage Completion Tokens (tokens),309760.00
Total Usage Prompt Cache Read Tokens (tokens),60151552.00
Total Usage Prompt Tokens (tokens),78104433.00
Total Usage Total Tokens (tokens),78414193.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
