Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),105.57,51.17,132.52,253901.99,80.45,94.44,97.79,102.11,106.33,109.94,113.37,115.01,116.25,6.86
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.66,167.00,257.00,614873.00,245.00,246.00,250.00,257.00,257.00,257.00,257.00,257.00,257.00,4.28
HTTP Chunks Sent,1.00,1.00,1.00,2405.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,4.80,79.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.30
HTTP Connection Overhead (ms),0.05,0.00,7.35,115.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.47
HTTP Connection Reused (ratio),0.98,0.00,1.00,2357.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),78.87,51.39,79.44,189676.13,75.66,75.85,76.94,79.24,79.28,79.32,79.34,79.36,79.38,1.34
HTTP Data Sent (KB),34.16,31.19,35.92,82165.67,31.80,32.09,32.40,33.54,34.42,34.91,35.28,35.44,35.72,1.01
HTTP DNS Lookup (ms),0.02,0.00,2.78,36.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),2420.65,1932.13,3672.53,5821665.98,2200.26,2224.31,2250.82,2317.47,2395.58,2487.31,2593.01,2686.47,3060.30,166.83
HTTP Receiving (ms),2064.79,1615.91,2231.87,4965831.93,1918.21,2015.73,2024.03,2034.49,2059.69,2096.48,2125.38,2140.03,2168.37,49.94
HTTP Sending (ms),0.19,0.09,5.33,460.80,0.12,0.13,0.13,0.14,0.16,0.17,0.19,0.21,1.04,0.31
HTTP Total Time (ms),2420.70,1932.13,3673.07,5821781.23,2200.26,2224.31,2250.82,2317.47,2395.58,2487.31,2593.01,2686.47,3061.09,166.96
HTTP Waiting (TTFB) (ms),355.66,164.49,1557.57,855373.25,173.84,181.51,188.78,253.86,323.58,417.68,519.57,600.47,1033.64,158.53
Input Sequence Length (tokens),8000.88,7999.00,8002.00,19242125.00,8000.00,8000.00,8000.00,8001.00,8001.00,8001.00,8001.00,8001.00,8001.00,0.33
Inter Chunk Latency (ms),8.14,2.24,93.87,4964234.74,6.54,7.11,7.36,7.66,7.91,8.44,9.22,9.64,10.84,1.31
Inter Token Latency (ms),8.15,6.34,16.59,19601.15,7.56,7.91,7.94,7.98,8.11,8.27,8.43,8.56,8.82,0.32
OSL Mismatch Diff % (%),-0.62,-50.00,0.39,-1482.81,-5.08,-4.69,-3.52,0.00,0.00,0.00,0.00,0.00,0.00,2.08
Output Sequence Length (tokens),254.42,128.00,257.00,611884.00,243.00,244.00,247.00,256.00,256.00,256.00,256.00,256.00,256.00,5.31
Output Token Count (tokens),254.30,126.00,257.00,611585.00,242.00,243.00,247.00,256.00,256.00,256.00,256.00,256.00,256.00,5.63
Output Token Throughput Per User (tokens/sec/user),122.85,60.27,157.84,295459.70,113.36,116.82,118.58,120.89,123.38,125.30,125.98,126.48,132.28,4.13
Prefill Throughput Per User (tokens/sec/user),25959.33,5134.49,48559.93,62432186.66,7715.83,13303.93,15392.53,19147.06,24711.05,31488.36,42331.78,44016.78,45974.14,9349.09
Reasoning Token Count (tokens),1.08,1.00,21.00,299.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20
Request Latency (ms),2420.06,1931.81,3672.36,5820239.84,2199.94,2223.70,2250.46,2316.93,2394.80,2486.89,2592.58,2685.33,3060.11,166.76
Time to First Output Token (ms),355.93,164.77,1558.28,856005.10,174.03,181.77,189.00,254.09,323.78,417.87,519.80,601.40,1037.15,158.65
Time to First Token (ms),355.93,164.77,1558.28,856005.10,174.03,181.77,189.00,254.09,323.78,417.87,519.80,601.40,1037.15,158.65
Time to Second Token (ms),10.37,6.38,15.71,24936.38,8.20,9.61,9.70,9.87,10.11,10.78,11.54,11.94,12.87,0.86

Metric,Value
Benchmark Duration (sec),92.23
OSL Mismatch Count,115.00
Output Token Throughput (tokens/sec),6634.14
Request Count,2405.00
Request Throughput (requests/sec),26.08
Total Input Sequence Length (tokens),19242125.00
Total Output Sequence Length (tokens),611884.00
Total Output Tokens (tokens),611585.00
Total Reasoning Tokens (tokens),299.00
Total Token Throughput (tokens/sec),215260.11


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
